"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Snrnp70",-0.137179138842404,7.91470495650586,-1.73628121556146,0.087719818757316,0.231235166599675,-6.10677356771401,"Snrnp70","NOT",1.05690227431302,"NOT"
"Snrpa",0.187340756662937,6.41952784110705,2.20111594642836,0.0316420099897324,0.106292085962557,-4.9623598617288,"Snrpa","NOT",1.49973593668753,"NOT"
"Snrpa1",-0.00342243841891274,5.17309669135047,-0.0354848045821472,0.971812630919713,0.982533816868828,-7.08288305981214,"Snrpa1","NOT",0.0124174605898637,"NOT"
"Snrpb",-0.696685152970497,7.93415370061653,-8.44946442343203,9.358320253961e-12,3.98049300895503e-10,16.122715385752,"Snrpb","DOWN",11.0288020967642,"DOWN"
"Snrpb2",-0.0982287240206599,5.72443443872994,-1.07797992401305,0.285418838582891,0.514145538965829,-6.60768386446139,"Snrpb2","NOT",0.544517365409922,"NOT"
"Snrpc",-0.211339341539873,6.29622994429116,-2.47895916338144,0.0160465170102927,0.0609633118817191,-4.33703618338694,"Snrpc","NOT",1.79461921916955,"NOT"
"Snrpd1",-0.300775957571127,6.0704798703492,-3.39837917132178,0.00121834659316591,0.00683009452259934,-1.91783408075251,"Snrpd1","NOT",2.91422914677124,"NOT"
"Snrpd2",-0.262242229502523,6.88751100758566,-3.0610205553843,0.0033147304619639,0.0161576838137894,-2.99953694385349,"Snrpd2","NOT",2.47955178057473,"NOT"
"Snrpd3",-0.631880681201716,6.17118385654593,-6.60753342220356,1.23147603522723e-08,2.50580596825261e-07,9.25198659152434,"Snrpd3","DOWN",7.90957403520112,"DOWN"
"Snrpe",0.00465773630599816,6.05348215865854,0.0478674195324291,0.961983144711661,0.976871807940248,-7.25040456791908,"Snrpe","NOT",0.0168325373414447,"NOT"
"Snrpf",-0.653032635285145,4.94527604913922,-5.89629824771144,1.90612526576563e-07,2.89009231717169e-06,6.73939838420511,"Snrpf","DOWN",6.71984856201713,"DOWN"
"Snrpg",-0.0824770602717443,6.21054863457641,-0.943908238244119,0.349055787215656,0.584477948338112,-6.83292381503574,"Snrpg","NOT",0.457105157156257,"NOT"
"Snu13",-0.170033226806862,7.46461671646594,-2.15914006622387,0.0349056854917151,0.114895076388894,-5.23810106609692,"Snu13","NOT",1.45710382872632,"NOT"
