"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm17853",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm16518",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm16307",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm16147",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm15782",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm15563",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm15378",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm15372",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm14874",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm14847",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm14783",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm14676",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm14480",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm14441",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm13771",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm13330",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm13239",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm13039",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm13012",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm12943",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm12407",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm12367",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm12315",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm11973",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm11674",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm11533",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm11468",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm10933",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm10826",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm10309",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Fut4-ps1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"F13b",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Etnppl",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Esp1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Erich2",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"E130201H02Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Dynap",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Dcdc5",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"CT027693.2",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Crh",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Cpb1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Cidec",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Chrna3",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Cfc1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Cep112it",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Cd163",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
